mean,min,max,std,var,coe,con,medi,kurtosis,en,zcr,subject
-2.0714,-2.0714,-2.0714,0.0,0.0,0,0.0,-2.0714,0.0,4.2907,1.0,0
-1.2555,-2.0714,-0.4395,1.1539,1.3315,1,1.3315,-1.2555,1.0,4.4839,0.5,1
-0.7335,-2.0714,0.3105,1.2178,1.4831,1,1.4831,-0.4395,1.5,4.5803,0.333,2
-0.1141,-2.0714,1.7441,1.5885,2.5234,1,2.5234,-0.0645,1.8597,7.6223,0.25,3
0.4798,-2.0714,2.8555,1.9121,3.6562,1,3.6562,0.3105,1.8114,15.7762,0.2,4
-0.1125,-3.074,2.8555,2.2428,5.0299,1,5.0299,-0.0645,1.7186,25.2256,0.33,5
0.3695,-3.074,3.2614,2.412,5.8177,1,5.8177,0.3105,1.6559,35.8621,0.2857,6
0.5956,-3.074,3.2614,2.3228,5.3955,1,5.3955,1.0273,1.7816,40.6066,0.25,7
1.0054,-3.074,4.2841,2.4966,6.2328,1,6.2328,1.7441,1.906,58.9601,0.22,8
1.0838,-3.074,4.2841,2.3668,5.6017,1,5.6017,1.7668,2.1356,62.1625,0.2,9
0.0212,-10.6055,4.2841,4.1789,17.4634,1,17.4634,1.7441,4.8363,174.6391,0.2727,0
-0.271,-10.6055,4.2841,4.111,16.9005,1,16.9005,1.00273,4.2839,186.7869,0.25,1
-0.3403,-10.6055,4.2841,3.9439,15.5545,1,15.5545,0.3105,4.5063,188.1593,0.2308,2
-0.8851,-10.6055,4.2841,4.3027,18.5134,1,18.5134,-0.0645,3.12,251.6425,0.2143,3
-0.6144,-10.6055,4.2841,4.2768,18.2906,1,18.2906,0.3105,3.2658,261.7303,0.2,4
-0.802,-10.6055,4.2841,4.1993,17.6343,1,17.6343,-0.0645,3.0999,274.8051,0.25,5
-0.9443,-10.6055,4.2841,4.1081,16.8764,1,16.8764,-0.4391,3.0426,285.1793,0.2353,6
-0.9313,-10.6055,4.2841,3.9858,15.8867,1,15.8867,-0.5752,3.2319,285.6844,0.22,7
-0.8178,-10.6055,4.2841,3.905,15.2487,1,15.2487,-0.4395,3.4158,287.1844,0.2105,8
-0.5942,-10.6055,4.2841,3.9302,15.4462,1,15.4462,-0.0645,3.4447,300.5398,0.2,9
-0.8724,-10.6055,4.2841,4.0372,16.299,1,16.299,-0.4395,2.9074,341.9623,0.2381,0
-1.1115,-10.6055,4.2841,4.0964,16.7809,1,16.7809,-0.5752,2.5659,379.5785,0.2273,1
-1.2423,-10.6055,4.2841,4.0515,16.415,1,16.415,-0.7108,2.4885,396.6568,0.2174,2
-1.2503,-10.6055,4.2841,3.9626,15.7026,1,15.7026,-0.9411,2.5919,398.6748,0.2083,3
-1.443,-10.6055,4.2841,3.9971,15.9771,1,15.9771,-1.1715,2.3831,435.5071,0.2,4
-1.4509,-10.6055,4.2841,3.9166,15.3396,1,15.3396,-1.296,2.4742,438.2199,0.1923,5
-1.6269,-10.6055,4.2841,3.948,15.5868,1,15.5868,-1.4205,2.307,476.7249,0.1852,6
-1.5297,-10.6055,4.2841,3.9082,15.2743,1,15.2743,-1.296,2.3579,477.9262,0.1786,7
